Date,Start,Visitor,PTS,Home,PTS,,,Notes
Sat Dec 5 2015,8:00 pm,Portland Trail Blazers,109,Minnesota Timberwolves,103,Box Score,,
Sat Dec 5 2015,1:00 pm,Denver Nuggets,108,Philadelphia 76ers,105,Box Score,,
Sat Dec 5 2015,8:30 pm,Boston Celtics,105,San Antonio Spurs,108,Box Score,,
Sat Dec 5 2015,5:00 pm,Golden State Warriors,112,Toronto Raptors,109,Box Score,,
Sat Dec 5 2015,9:00 pm,Indiana Pacers,119,Utah Jazz,122,Box Score,OT,
Sun Dec 6 2015,6:00 pm,Golden State Warriors,114,Brooklyn Nets,98,Box Score,,
Sun Dec 6 2015,6:00 pm,Los Angeles Lakers,91,Detroit Pistons,111,Box Score,,
Sun Dec 6 2015,3:30 pm,Phoenix Suns,93,Memphis Grizzlies,95,Box Score,,
Sun Dec 6 2015,7:00 pm,Sacramento Kings,95,Oklahoma City Thunder,98,Box Score,,
Sun Dec 6 2015,6:00 pm,Dallas Mavericks,116,Washington Wizards,104,Box Score,,
Mon Dec 7 2015,8:00 pm,Phoenix Suns,103,Chicago Bulls,101,Box Score,,
Mon Dec 7 2015,7:00 pm,Detroit Pistons,84,Charlotte Hornets,104,Box Score,,
Mon Dec 7 2015,7:30 pm,Washington Wizards,114,Miami Heat,103,Box Score,,
Mon Dec 7 2015,8:00 pm,Portland Trail Blazers,88,Milwaukee Bucks,90,Box Score,,
Mon Dec 7 2015,8:00 pm,Los Angeles Clippers,110,Minnesota Timberwolves,106,Box Score,,
Mon Dec 7 2015,8:00 pm,Boston Celtics,111,New Orleans Pelicans,93,Box Score,,
Mon Dec 7 2015,7:30 pm,Dallas Mavericks,104,New York Knicks,97,Box Score,,
Mon Dec 7 2015,7:00 pm,San Antonio Spurs,119,Philadelphia 76ers,68,Box Score,,
Mon Dec 7 2015,7:30 pm,Los Angeles Lakers,93,Toronto Raptors,102,Box Score,,
Tue Dec 8 2015,7:30 pm,Houston Rockets,105,Brooklyn Nets,110,Box Score,,
Tue Dec 8 2015,7:00 pm,Portland Trail Blazers,100,Cleveland Cavaliers,105,Box Score,,
Tue Dec 8 2015,9:00 pm,Orlando Magic,85,Denver Nuggets,74,Box Score,,
Tue Dec 8 2015,7:00 pm,Golden State Warriors,131,Indiana Pacers,123,Box Score,,
Tue Dec 8 2015,8:00 pm,Oklahoma City Thunder,125,Memphis Grizzlies,88,Box Score,,
Tue Dec 8 2015,10:00 pm,Utah Jazz,106,Sacramento Kings,114,Box Score,,
Wed Dec 9 2015,7:00 pm,Chicago Bulls,100,Boston Celtics,105,Box Score,,
Wed Dec 9 2015,7:00 pm,Miami Heat,81,Charlotte Hornets,99,Box Score,,
Wed Dec 9 2015,9:30 pm,Atlanta Hawks,98,Dallas Mavericks,95,Box Score,,
Wed Dec 9 2015,7:30 pm,Memphis Grizzlies,93,Detroit Pistons,92,Box Score,,
Wed Dec 9 2015,8:00 pm,Los Angeles Clippers,109,Milwaukee Bucks,95,Box Score,,
Wed Dec 9 2015,8:00 pm,Los Angeles Lakers,122,Minnesota Timberwolves,123,Box Score,OT,
Wed Dec 9 2015,9:00 pm,Orlando Magic,104,Phoenix Suns,107,Box Score,,
Wed Dec 9 2015,7:30 pm,San Antonio Spurs,94,Toronto Raptors,97,Box Score,,
Wed Dec 9 2015,9:00 pm,New York Knicks,85,Utah Jazz,106,Box Score,,
Wed Dec 9 2015,7:00 pm,Houston Rockets,109,Washington Wizards,103,Box Score,,
Thu Dec 10 2015,7:30 pm,Philadelphia 76ers,91,Brooklyn Nets,100,Box Score,,
Thu Dec 10 2015,8:00 pm,Los Angeles Clippers,80,Chicago Bulls,83,Box Score,,
Thu Dec 10 2015,8:00 pm,Atlanta Hawks,94,Oklahoma City Thunder,107,Box Score,,
Thu Dec 10 2015,10:30 pm,New York Knicks,97,Sacramento Kings,99,Box Score,,
Fri Dec 11 2015,7:30 pm,Golden State Warriors,124,Boston Celtics,119,Box Score,2OT,
Fri Dec 11 2015,9:00 pm,Minnesota Timberwolves,108,Denver Nuggets,111,Box Score,OT,
Fri Dec 11 2015,7:00 pm,Miami Heat,83,Indiana Pacers,96,Box Score,,
Fri Dec 11 2015,8:00 pm,Charlotte Hornets,123,Memphis Grizzlies,99,Box Score,,
Fri Dec 11 2015,8:00 pm,Washington Wizards,105,New Orleans Pelicans,107,Box Score,,
Fri Dec 11 2015,7:00 pm,Cleveland Cavaliers,111,Orlando Magic,76,Box Score,,
Fri Dec 11 2015,7:00 pm,Detroit Pistons,107,Philadelphia 76ers,95,Box Score,,
Fri Dec 11 2015,9:30 pm,Portland Trail Blazers,106,Phoenix Suns,96,Box Score,,
Fri Dec 11 2015,9:30 pm,Los Angeles Lakers,87,San Antonio Spurs,109,Box Score,,
Fri Dec 11 2015,7:30 pm,Milwaukee Bucks,83,Toronto Raptors,90,Box Score,,
Fri Dec 11 2015,9:00 pm,Oklahoma City Thunder,94,Utah Jazz,90,Box Score,,
Sat Dec 12 2015,8:00 pm,San Antonio Spurs,103,Atlanta Hawks,78,Box Score,,
Sat Dec 12 2015,5:00 pm,Los Angeles Clippers,105,Brooklyn Nets,100,Box Score,,
Sat Dec 12 2015,8:00 pm,New Orleans Pelicans,94,Chicago Bulls,98,Box Score,,
Sat Dec 12 2015,7:00 pm,Boston Celtics,98,Charlotte Hornets,93,Box Score,,
Sat Dec 12 2015,8:30 pm,Washington Wizards,114,Dallas Mavericks,111,Box Score,,
Sat Dec 12 2015,7:30 pm,Indiana Pacers,96,Detroit Pistons,118,Box Score,,
Sat Dec 12 2015,8:00 pm,Los Angeles Lakers,97,Houston Rockets,126,Box Score,,
Sat Dec 12 2015,8:30 pm,Golden State Warriors,95,Milwaukee Bucks,108,Box Score,,
Sat Dec 12 2015,10:00 pm,New York Knicks,112,Portland Trail Blazers,110,Box Score,,
Sun Dec 13 2015,6:00 pm,Memphis Grizzlies,97,Miami Heat,100,Box Score,,
Sun Dec 13 2015,7:00 pm,Utah Jazz,98,Oklahoma City Thunder,104,Box Score,OT,
Sun Dec 13 2015,3:30 pm,Minnesota Timberwolves,101,Phoenix Suns,108,Box Score,,
Sun Dec 13 2015,6:00 pm,Philadelphia 76ers,76,Toronto Raptors,96,Box Score,,
Mon Dec 14 2015,8:00 pm,Miami Heat,100,Atlanta Hawks,88,Box Score,,
Mon Dec 14 2015,7:30 pm,Orlando Magic,105,Brooklyn Nets,82,Box Score,,
Mon Dec 14 2015,8:00 pm,Philadelphia 76ers,96,Chicago Bulls,115,Box Score,,
Mon Dec 14 2015,8:30 pm,Phoenix Suns,94,Dallas Mavericks,104,Box Score,,
Mon Dec 14 2015,9:00 pm,Houston Rockets,108,Denver Nuggets,114,Box Score,,
Mon Dec 14 2015,7:30 pm,Los Angeles Clippers,105,Detroit Pistons,103,Box Score,OT,
Mon Dec 14 2015,7:00 pm,Toronto Raptors,90,Indiana Pacers,106,Box Score,,
Mon Dec 14 2015,8:00 pm,Washington Wizards,95,Memphis Grizzlies,112,Box Score,,
Mon Dec 14 2015,10:00 pm,New Orleans Pelicans,101,Portland Trail Blazers,105,Box Score,,
Mon Dec 14 2015,8:30 pm,Utah Jazz,81,San Antonio Spurs,118,Box Score,,
Tue Dec 15 2015,7:30 pm,Cleveland Cavaliers,89,Boston Celtics,77,Box Score,,
Tue Dec 15 2015,10:30 pm,Milwaukee Bucks,95,Los Angeles Lakers,113,Box Score,,
Tue Dec 15 2015,8:00 pm,Denver Nuggets,112,Minnesota Timberwolves,100,Box Score,,
Tue Dec 15 2015,10:00 pm,Houston Rockets,97,Sacramento Kings,107,Box Score,,
Wed Dec 16 2015,8:00 pm,Philadelphia 76ers,106,Atlanta Hawks,127,Box Score,,
Wed Dec 16 2015,7:30 pm,Miami Heat,104,Brooklyn Nets,98,Box Score,,
Wed Dec 16 2015,8:00 pm,Memphis Grizzlies,85,Chicago Bulls,98,Box Score,,
Wed Dec 16 2015,7:30 pm,Boston Celtics,116,Detroit Pistons,119,Box Score,,
Wed Dec 16 2015,10:30 pm,Phoenix Suns,103,Golden State Warriors,128,Box Score,,
Wed Dec 16 2015,7:00 pm,Dallas Mavericks,81,Indiana Pacers,107,Box Score,,
Wed Dec 16 2015,10:30 pm,Milwaukee Bucks,90,Los Angeles Clippers,103,Box Score,,
Wed Dec 16 2015,7:30 pm,Minnesota Timberwolves,102,New York Knicks,107,Box Score,,
Wed Dec 16 2015,8:00 pm,Portland Trail Blazers,90,Oklahoma City Thunder,106,Box Score,,
Wed Dec 16 2015,7:00 pm,Charlotte Hornets,98,Orlando Magic,113,Box Score,,
Wed Dec 16 2015,8:30 pm,Washington Wizards,95,San Antonio Spurs,114,Box Score,,
Wed Dec 16 2015,9:00 pm,New Orleans Pelicans,104,Utah Jazz,94,Box Score,,
Thu Dec 17 2015,7:00 pm,Toronto Raptors,99,Charlotte Hornets,109,Box Score,OT,
Thu Dec 17 2015,8:00 pm,Oklahoma City Thunder,100,Cleveland Cavaliers,104,Box Score,,
Thu Dec 17 2015,10:30 pm,Houston Rockets,107,Los Angeles Lakers,87,Box Score,,
Fri Dec 18 2015,7:30 pm,Atlanta Hawks,109,Boston Celtics,101,Box Score,,
Fri Dec 18 2015,8:00 pm,Detroit Pistons,147,Chicago Bulls,144,Box Score,4OT,
Fri Dec 18 2015,8:30 pm,Memphis Grizzlies,88,Dallas Mavericks,97,Box Score,,
Fri Dec 18 2015,10:30 pm,Milwaukee Bucks,112,Golden State Warriors,121,Box Score,,
Fri Dec 18 2015,7:00 pm,Brooklyn Nets,97,Indiana Pacers,104,Box Score,,
Fri Dec 18 2015,8:00 pm,Toronto Raptors,108,Miami Heat,94,Box Score,,
Fri Dec 18 2015,8:00 pm,Sacramento Kings,95,Minnesota Timberwolves,99,Box Score,,
Fri Dec 18 2015,7:00 pm,Portland Trail Blazers,94,Orlando Magic,102,Box Score,,
Fri Dec 18 2015,7:00 pm,New York Knicks,107,Philadelphia 76ers,97,Box Score,,
Fri Dec 18 2015,10:30 pm,New Orleans Pelicans,88,Phoenix Suns,104,Box Score,,
Fri Dec 18 2015,8:00 pm,Los Angeles Clippers,107,San Antonio Spurs,115,Box Score,,
Fri Dec 18 2015,9:00 pm,Denver Nuggets,88,Utah Jazz,97,Box Score,,
Sat Dec 19 2015,8:00 pm,Los Angeles Clippers,97,Houston Rockets,107,Box Score,,
Sat Dec 19 2015,8:00 pm,Indiana Pacers,84,Memphis Grizzlies,96,Box Score,,
Sat Dec 19 2015,7:30 pm,Chicago Bulls,91,New York Knicks,107,Box Score,,
Sat Dec 19 2015,5:00 pm,Los Angeles Lakers,78,Oklahoma City Thunder,118,Box Score,,
Sat Dec 19 2015,7:00 pm,Charlotte Hornets,101,Washington Wizards,109,Box Score,,
Sun Dec 20 2015,1:00 pm,Minnesota Timberwolves,100,Brooklyn Nets,85,Box Score,,
Sun Dec 20 2015,3:30 pm,Philadelphia 76ers,86,Cleveland Cavaliers,108,Box Score,,
Sun Dec 20 2015,8:00 pm,New Orleans Pelicans,130,Denver Nuggets,125,Box Score,,
Sun Dec 20 2015,1:00 pm,Portland Trail Blazers,109,Miami Heat,116,Box Score,,
Sun Dec 20 2015,6:00 pm,Atlanta Hawks,103,Orlando Magic,100,Box Score,,
Sun Dec 20 2015,5:00 pm,Milwaukee Bucks,101,Phoenix Suns,95,Box Score,,
Sun Dec 20 2015,6:00 pm,Sacramento Kings,104,Toronto Raptors,94,Box Score,,
Mon Dec 21 2015,8:00 pm,Portland Trail Blazers,97,Atlanta Hawks,106,Box Score,,
Mon Dec 21 2015,7:30 pm,Minnesota Timberwolves,99,Boston Celtics,113,Box Score,,
Mon Dec 21 2015,8:00 pm,Brooklyn Nets,105,Chicago Bulls,102,Box Score,,
Mon Dec 21 2015,8:00 pm,Charlotte Hornets,95,Houston Rockets,102,Box Score,,
Mon Dec 21 2015,10:30 pm,Oklahoma City Thunder,100,Los Angeles Clippers,99,Box Score,,
Mon Dec 21 2015,7:30 pm,Orlando Magic,107,New York Knicks,99,Box Score,,
Mon Dec 21 2015,8:30 pm,Indiana Pacers,92,San Antonio Spurs,106,Box Score,,
Mon Dec 21 2015,9:00 pm,Phoenix Suns,89,Utah Jazz,110,Box Score,,
Mon Dec 21 2015,7:00 pm,Sacramento Kings,99,Washington Wizards,113,Box Score,,
Tue Dec 22 2015,9:00 pm,Los Angeles Lakers,111,Denver Nuggets,107,Box Score,,
Tue Dec 22 2015,7:30 pm,Detroit Pistons,93,Miami Heat,92,Box Score,,
Tue Dec 22 2015,7:00 pm,Memphis Grizzlies,104,Philadelphia 76ers,90,Box Score,,
Tue Dec 22 2015,7:30 pm,Dallas Mavericks,99,Toronto Raptors,103,Box Score,,
Wed Dec 23 2015,8:00 pm,Detroit Pistons,100,Atlanta Hawks,107,Box Score,,
Wed Dec 23 2015,7:30 pm,Dallas Mavericks,119,Brooklyn Nets,118,Box Score,OT,
Wed Dec 23 2015,7:00 pm,Boston Celtics,102,Charlotte Hornets,89,Box Score,,
Wed Dec 23 2015,7:00 pm,New York Knicks,84,Cleveland Cavaliers,91,Box Score,,
Wed Dec 23 2015,10:30 pm,Utah Jazz,85,Golden State Warriors,103,Box Score,,
Wed Dec 23 2015,7:00 pm,Sacramento Kings,108,Indiana Pacers,106,Box Score,,
Wed Dec 23 2015,10:30 pm,Oklahoma City Thunder,120,Los Angeles Lakers,85,Box Score,,
Wed Dec 23 2015,8:00 pm,Philadelphia 76ers,100,Milwaukee Bucks,113,Box Score,,
Wed Dec 23 2015,8:00 pm,San Antonio Spurs,108,Minnesota Timberwolves,83,Box Score,,
Wed Dec 23 2015,8:00 pm,Portland Trail Blazers,89,New Orleans Pelicans,115,Box Score,,
Wed Dec 23 2015,7:00 pm,Houston Rockets,101,Orlando Magic,104,Box Score,,
Wed Dec 23 2015,9:00 pm,Denver Nuggets,104,Phoenix Suns,96,Box Score,,
Wed Dec 23 2015,7:00 pm,Memphis Grizzlies,91,Washington Wizards,100,Box Score,,
Fri Dec 25 2015,5:00 pm,Cleveland Cavaliers,83,Golden State Warriors,89,Box Score,,
Fri Dec 25 2015,8:00 pm,San Antonio Spurs,84,Houston Rockets,88,Box Score,,
Fri Dec 25 2015,10:30 pm,Los Angeles Clippers,94,Los Angeles Lakers,84,Box Score,,
Fri Dec 25 2015,12:00 pm,New Orleans Pelicans,88,Miami Heat,94,Box Score,OT,
Fri Dec 25 2015,2:30 pm,Chicago Bulls,105,Oklahoma City Thunder,96,Box Score,,
Sat Dec 26 2015,7:30 pm,New York Knicks,98,Atlanta Hawks,117,Box Score,,
Sat Dec 26 2015,4:00 pm,Washington Wizards,111,Brooklyn Nets,96,Box Score,,
Sat Dec 26 2015,7:00 pm,Memphis Grizzlies,92,Charlotte Hornets,98,Box Score,,
Sat Dec 26 2015,8:30 pm,Chicago Bulls,111,Dallas Mavericks,118,Box Score,,
Sat Dec 26 2015,7:30 pm,Boston Celtics,99,Detroit Pistons,93,Box Score,,
Sat Dec 26 2015,5:00 pm,Toronto Raptors,111,Milwaukee Bucks,90,Box Score,,
Sat Dec 26 2015,8:00 pm,Indiana Pacers,102,Minnesota Timberwolves,88,Box Score,,
Sat Dec 26 2015,7:00 pm,Houston Rockets,108,New Orleans Pelicans,110,Box Score,,
Sat Dec 26 2015,7:00 pm,Miami Heat,108,Orlando Magic,101,Box Score,,
Sat Dec 26 2015,9:00 pm,Philadelphia 76ers,111,Phoenix Suns,104,Box Score,,
Sat Dec 26 2015,10:00 pm,Cleveland Cavaliers,76,Portland Trail Blazers,105,Box Score,,
Sat Dec 26 2015,8:30 pm,Denver Nuggets,86,San Antonio Spurs,101,Box Score,,
Sat Dec 26 2015,9:00 pm,Los Angeles Clippers,109,Utah Jazz,104,Box Score,,
Sun Dec 27 2015,7:00 pm,New York Knicks,91,Boston Celtics,100,Box Score,,
Sun Dec 27 2015,6:00 pm,Los Angeles Lakers,96,Memphis Grizzlies,112,Box Score,,
Sun Dec 27 2015,7:00 pm,Denver Nuggets,112,Oklahoma City Thunder,122,Box Score,,
Sun Dec 27 2015,9:00 pm,Portland Trail Blazers,98,Sacramento Kings,94,Box Score,,
Mon Dec 28 2015,8:00 pm,Toronto Raptors,97,Chicago Bulls,104,Box Score,,
Mon Dec 28 2015,7:00 pm,Los Angeles Lakers,98,Charlotte Hornets,108,Box Score,,
Mon Dec 28 2015,8:30 pm,Milwaukee Bucks,93,Dallas Mavericks,103,Box Score,,
Mon Dec 28 2015,10:30 pm,Sacramento Kings,103,Golden State Warriors,122,Box Score,,
Mon Dec 28 2015,7:00 pm,Atlanta Hawks,87,Indiana Pacers,93,Box Score,,
Mon Dec 28 2015,7:30 pm,Brooklyn Nets,111,Miami Heat,105,Box Score,,
Mon Dec 28 2015,7:00 pm,New Orleans Pelicans,89,Orlando Magic,104,Box Score,,
Mon Dec 28 2015,9:00 pm,Cleveland Cavaliers,101,Phoenix Suns,97,Box Score,,
Mon Dec 28 2015,8:30 pm,Minnesota Timberwolves,95,San Antonio Spurs,101,Box Score,,
Mon Dec 28 2015,9:00 pm,Philadelphia 76ers,91,Utah Jazz,95,Box Score,,
Mon Dec 28 2015,7:00 pm,Los Angeles Clippers,108,Washington Wizards,91,Box Score,,
Tue Dec 29 2015,9:00 pm,Cleveland Cavaliers,93,Denver Nuggets,87,Box Score,,
Tue Dec 29 2015,8:00 pm,Atlanta Hawks,121,Houston Rockets,115,Box Score,,
Tue Dec 29 2015,8:00 pm,Miami Heat,90,Memphis Grizzlies,99,Box Score,OT,
Tue Dec 29 2015,7:30 pm,Detroit Pistons,96,New York Knicks,108,Box Score,,
Tue Dec 29 2015,8:00 pm,Milwaukee Bucks,123,Oklahoma City Thunder,131,Box Score,,
Wed Dec 30 2015,7:30 pm,Los Angeles Lakers,112,Boston Celtics,104,Box Score,,
Wed Dec 30 2015,8:00 pm,Indiana Pacers,100,Chicago Bulls,102,Box Score,OT,
Wed Dec 30 2015,7:00 pm,Los Angeles Clippers,122,Charlotte Hornets,117,Box Score,,
Wed Dec 30 2015,8:30 pm,Golden State Warriors,91,Dallas Mavericks,114,Box Score,,
Wed Dec 30 2015,8:00 pm,Utah Jazz,80,Minnesota Timberwolves,94,Box Score,,
Wed Dec 30 2015,7:00 pm,Brooklyn Nets,93,Orlando Magic,100,Box Score,,
Wed Dec 30 2015,10:00 pm,Denver Nuggets,103,Portland Trail Blazers,110,Box Score,,
Wed Dec 30 2015,10:00 pm,Philadelphia 76ers,110,Sacramento Kings,105,Box Score,,
Wed Dec 30 2015,8:30 pm,Phoenix Suns,79,San Antonio Spurs,112,Box Score,,
Wed Dec 30 2015,7:30 pm,Washington Wizards,91,Toronto Raptors,94,Box Score,,
Thu Dec 31 2015,6:00 pm,Minnesota Timberwolves,90,Detroit Pistons,115,Box Score,,
Thu Dec 31 2015,7:00 pm,Golden State Warriors,114,Houston Rockets,110,Box Score,,
Thu Dec 31 2015,6:00 pm,Milwaukee Bucks,120,Indiana Pacers,116,Box Score,,
Thu Dec 31 2015,8:00 pm,Los Angeles Clippers,95,New Orleans Pelicans,89,Box Score,,
Thu Dec 31 2015,8:00 pm,Phoenix Suns,106,Oklahoma City Thunder,110,Box Score,,
Thu Dec 31 2015,9:00 pm,Portland Trail Blazers,96,Utah Jazz,109,Box Score,,
Sun Nov 1 2015,3:30 pm,San Antonio Spurs,95,Boston Celtics,87,Box Score,,
Sun Nov 1 2015,7:00 pm,Orlando Magic,87,Chicago Bulls,92,Box Score,,
Sun Nov 1 2015,2:00 pm,Atlanta Hawks,94,Charlotte Hornets,92,Box Score,,
Sun Nov 1 2015,9:30 pm,Dallas Mavericks,103,Los Angeles Lakers,93,Box Score,,
Sun Nov 1 2015,6:00 pm,Houston Rockets,89,Miami Heat,109,Box Score,,
Sun Nov 1 2015,7:00 pm,Denver Nuggets,93,Oklahoma City Thunder,117,Box Score,,
Sun Nov 1 2015,6:00 pm,Milwaukee Bucks,87,Toronto Raptors,106,Box Score,,
Mon Nov 2 2015,7:30 pm,Milwaukee Bucks,103,Brooklyn Nets,96,Box Score,,
Mon Nov 2 2015,10:30 pm,Memphis Grizzlies,69,Golden State Warriors,119,Box Score,,
Mon Nov 2 2015,8:00 pm,Oklahoma City Thunder,105,Houston Rockets,110,Box Score,,
Mon Nov 2 2015,10:30 pm,Phoenix Suns,96,Los Angeles Clippers,102,Box Score,,
Mon Nov 2 2015,8:00 pm,Portland Trail Blazers,106,Minnesota Timberwolves,101,Box Score,,
Mon Nov 2 2015,7:30 pm,San Antonio Spurs,94,New York Knicks,84,Box Score,,
Mon Nov 2 2015,7:00 pm,Cleveland Cavaliers,107,Philadelphia 76ers,100,Box Score,,
Tue Nov 3 2015,7:00 pm,Chicago Bulls,105,Charlotte Hornets,130,Box Score,,
Tue Nov 3 2015,8:30 pm,Toronto Raptors,102,Dallas Mavericks,91,Box Score,,
Tue Nov 3 2015,7:30 pm,Indiana Pacers,94,Detroit Pistons,82,Box Score,,
Tue Nov 3 2015,10:30 pm,Denver Nuggets,120,Los Angeles Lakers,109,Box Score,,
Tue Nov 3 2015,7:30 pm,Atlanta Hawks,98,Miami Heat,92,Box Score,,
Tue Nov 3 2015,8:00 pm,Orlando Magic,103,New Orleans Pelicans,94,Box Score,,
Tue Nov 3 2015,10:00 pm,Memphis Grizzlies,103,Sacramento Kings,89,Box Score,,
Wed Nov 4 2015,8:00 pm,Brooklyn Nets,87,Atlanta Hawks,101,Box Score,,
Wed Nov 4 2015,8:00 pm,New York Knicks,86,Cleveland Cavaliers,96,Box Score,,
Wed Nov 4 2015,10:30 pm,Los Angeles Clippers,108,Golden State Warriors,112,Box Score,,
Wed Nov 4 2015,8:00 pm,Orlando Magic,114,Houston Rockets,119,Box Score,OT,
Wed Nov 4 2015,7:00 pm,Boston Celtics,98,Indiana Pacers,100,Box Score,,
Wed Nov 4 2015,8:00 pm,Philadelphia 76ers,87,Milwaukee Bucks,91,Box Score,,
Wed Nov 4 2015,8:00 pm,Toronto Raptors,103,Oklahoma City Thunder,98,Box Score,,
Wed Nov 4 2015,9:00 pm,Sacramento Kings,97,Phoenix Suns,118,Box Score,,
Wed Nov 4 2015,9:00 pm,Portland Trail Blazers,108,Utah Jazz,92,Box Score,,
Wed Nov 4 2015,7:00 pm,San Antonio Spurs,99,Washington Wizards,102,Box Score,,
Thu Nov 5 2015,8:00 pm,Oklahoma City Thunder,98,Chicago Bulls,104,Box Score,,
Thu Nov 5 2015,8:30 pm,Charlotte Hornets,108,Dallas Mavericks,94,Box Score,,
Thu Nov 5 2015,9:00 pm,Utah Jazz,96,Denver Nuggets,84,Box Score,,
Thu Nov 5 2015,8:00 pm,Miami Heat,96,Minnesota Timberwolves,84,Box Score,,
Thu Nov 5 2015,10:30 pm,Memphis Grizzlies,96,Portland Trail Blazers,115,Box Score,,
Fri Nov 6 2015,7:30 pm,Washington Wizards,98,Boston Celtics,118,Box Score,,
Fri Nov 6 2015,7:30 pm,Los Angeles Lakers,104,Brooklyn Nets,98,Box Score,,
Fri Nov 6 2015,7:30 pm,Philadelphia 76ers,102,Cleveland Cavaliers,108,Box Score,,
Fri Nov 6 2015,10:30 pm,Denver Nuggets,104,Golden State Warriors,119,Box Score,,
Fri Nov 6 2015,8:00 pm,Miami Heat,87,Indiana Pacers,90,Box Score,,
Fri Nov 6 2015,8:00 pm,Atlanta Hawks,121,New Orleans Pelicans,115,Box Score,,
Fri Nov 6 2015,7:30 pm,Milwaukee Bucks,99,New York Knicks,92,Box Score,,
Fri Nov 6 2015,7:00 pm,Toronto Raptors,87,Orlando Magic,92,Box Score,,
Fri Nov 6 2015,9:30 pm,Detroit Pistons,100,Phoenix Suns,92,Box Score,,
Fri Nov 6 2015,10:30 pm,Houston Rockets,116,Sacramento Kings,110,Box Score,,
Sat Nov 7 2015,7:30 pm,Washington Wizards,99,Atlanta Hawks,114,Box Score,,
Sat Nov 7 2015,6:00 pm,Minnesota Timberwolves,102,Chicago Bulls,93,Box Score,OT,
Sat Nov 7 2015,8:30 pm,New Orleans Pelicans,98,Dallas Mavericks,107,Box Score,,
Sat Nov 7 2015,10:30 pm,Houston Rockets,109,Los Angeles Clippers,105,Box Score,,
Sat Nov 7 2015,8:30 pm,Brooklyn Nets,86,Milwaukee Bucks,94,Box Score,,
Sat Nov 7 2015,7:00 pm,Orlando Magic,105,Philadelphia 76ers,97,Box Score,,
Sat Nov 7 2015,10:00 pm,Golden State Warriors,103,Sacramento Kings,94,Box Score,,
Sat Nov 7 2015,8:30 pm,Charlotte Hornets,94,San Antonio Spurs,114,Box Score,,
Sat Nov 7 2015,9:00 pm,Memphis Grizzlies,79,Utah Jazz,89,Box Score,,
Sun Nov 8 2015,3:30 pm,Indiana Pacers,97,Cleveland Cavaliers,101,Box Score,,
Sun Nov 8 2015,6:00 pm,Toronto Raptors,76,Miami Heat,96,Box Score,,
Sun Nov 8 2015,3:30 pm,Los Angeles Lakers,95,New York Knicks,99,Box Score,,
Sun Nov 8 2015,7:00 pm,Phoenix Suns,103,Oklahoma City Thunder,124,Box Score,,
Sun Nov 8 2015,9:00 pm,Detroit Pistons,120,Portland Trail Blazers,103,Box Score,,
Mon Nov 9 2015,8:00 pm,Minnesota Timberwolves,117,Atlanta Hawks,107,Box Score,,
Mon Nov 9 2015,9:00 pm,Portland Trail Blazers,104,Denver Nuggets,108,Box Score,,
Mon Nov 9 2015,10:30 pm,Detroit Pistons,95,Golden State Warriors,109,Box Score,,
Mon Nov 9 2015,7:00 pm,Orlando Magic,84,Indiana Pacers,97,Box Score,,
Mon Nov 9 2015,10:30 pm,Memphis Grizzlies,92,Los Angeles Clippers,94,Box Score,,
Mon Nov 9 2015,7:00 pm,Chicago Bulls,111,Philadelphia 76ers,88,Box Score,,
Mon Nov 9 2015,10:00 pm,San Antonio Spurs,106,Sacramento Kings,88,Box Score,,
Tue Nov 10 2015,7:00 pm,Utah Jazz,114,Cleveland Cavaliers,118,Box Score,,
Tue Nov 10 2015,7:30 pm,Los Angeles Lakers,88,Miami Heat,101,Box Score,,
Tue Nov 10 2015,8:00 pm,Boston Celtics,99,Milwaukee Bucks,83,Box Score,,
Tue Nov 10 2015,8:00 pm,Charlotte Hornets,104,Minnesota Timberwolves,95,Box Score,,
Tue Nov 10 2015,8:00 pm,Dallas Mavericks,105,New Orleans Pelicans,120,Box Score,,
Tue Nov 10 2015,7:30 pm,New York Knicks,111,Toronto Raptors,109,Box Score,,
Tue Nov 10 2015,7:00 pm,Oklahoma City Thunder,125,Washington Wizards,101,Box Score,,
Wed Nov 11 2015,8:00 pm,New Orleans Pelicans,98,Atlanta Hawks,106,Box Score,,
Wed Nov 11 2015,7:30 pm,Indiana Pacers,102,Boston Celtics,91,Box Score,,
Wed Nov 11 2015,7:00 pm,New York Knicks,93,Charlotte Hornets,95,Box Score,,
Wed Nov 11 2015,8:00 pm,Los Angeles Clippers,108,Dallas Mavericks,118,Box Score,,
Wed Nov 11 2015,9:00 pm,Milwaukee Bucks,102,Denver Nuggets,103,Box Score,,
Wed Nov 11 2015,8:00 pm,Brooklyn Nets,106,Houston Rockets,98,Box Score,,
Wed Nov 11 2015,8:00 pm,Golden State Warriors,100,Memphis Grizzlies,84,Box Score,,
Wed Nov 11 2015,7:00 pm,Los Angeles Lakers,99,Orlando Magic,101,Box Score,,
Wed Nov 11 2015,7:00 pm,Toronto Raptors,119,Philadelphia 76ers,103,Box Score,,
Wed Nov 11 2015,10:30 pm,San Antonio Spurs,113,Portland Trail Blazers,101,Box Score,,
Wed Nov 11 2015,10:00 pm,Detroit Pistons,92,Sacramento Kings,101,Box Score,,
Thu Nov 12 2015,7:30 pm,Utah Jazz,91,Miami Heat,92,Box Score,,
